lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
lang_code	en	se	es	el	de	du	he	fr	fq	no	zh	zt	ru	hy	sk	in	gr	ei	pe	pt	ar	da	tr	po	am	it	hi	ro	vi	hu	sq	cs	uk	bn	et	fa	li	dd
lang_description	English (Standard)	Swedish	Spanish (Spain)	Spanish (Latin American)	German	Dutch	Hebrew	French (Standard)	French (Canadian)	Norwegian	Chinese (Simplified)	Chinese (Traditional)	Russian	Armenian	Slovak	Bahasa Indonesia	Greek	English (Indian)	Portuguese (European)	Portuguese (Brazilian)	Arabic	Danish	Turkish	Polish	Amharic	Italian	Hindi	Romanian	Vietnamese	Hungarian	Albanian	Czech	Ukrainian	Bengali	Estonian	Persian	Lithuanian	dummy
(DO NOT EDIT BELOW)	(DO NOT EDIT BELOW)	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	(DO NOT EDIT BELOW)
cons_id	constant_name	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition
1	A	A	Un, Una	Un, Una	Ein	A		Un	Un		一	一	A			A	Ένα		Um	A	أ	A	Bir	A			एक		Một		nje	A	А		A			dummy
2	A check number or claim number to identify the payment	Ett betalningsnr för att identifiera betalningen	Un número de cheque o reclamación para identificar el pago	Un número de cheque o reclamación para identificar el pago	Schecknummer oder Reklamationsnummer ist erforderlich, um Zahlung zu identifizieren	Chequenummer of claimnummer om betaling te identificeren		Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Et betalingsnummer til å identifisere betalingen	支票或索赔编号用于辨别付款	一個支票或申索號碼 用來查詢付款	Регистрация номера или требования для идентификации оплаты			Nomor cek atau nomor klaim untuk identifikasi pembayaran	Αριθ. Επιταγής ή Αιτήματος αποζημίωσης, προς ταυτοποίηση πληρωμής		Número de cheque ou de crédito para identificar o pagamento	Um número de cheque ou de crédito para identificar o pagamento	رقم الإيصال أو المطالبة للتعريف بالدفع	Nummer, der identificerer betalingen	Ödemeyi tanımlamak için bir çek numarası veya talep numarası	Numer czeku lub rachunku do identyfikacji płatności		Numero assegno o identificativo pagamento	एक चेक नंबर या claim नंबर भुगतान की पहचान के लिए		Số séc hoặc số yêu cầu để nhận biết việc thanh toán		Numer fature		Номер чеку та ідентифікаційний номер платежу		Tšeki või nõude number maksmise tuvastamiseks	شماره چک یا شماره پرونده برای پیگیری پرداخت		dummy
3	A client certificate for the admin user	Klientcertifikat for brugeren \"Administrator\"	Un certificado de cliente para el usuario administrador	Un certificado del cliente para el usuario de admin	Klienten Zertifikat für Administrator	Een certificaat voor de ADMIN gebruiker		Un certificat du client pour l\'administrateur	Un certificat du client pour l\'administrateur		管理员用户的客户端证书	一個管理員用戶的客戶端證書	Сертификат клиента для пользователя admin			Surat keterangan pelanggan untuk pengguna admin	Ένα πιστοποιητικό πελάτη για τον Διαχειριστή		Certificado de cliente para o administrador do sistema	Um certificado cliente para o usuário administrador	شهادة عميل للمستخدم المشرف	Patient certificat til administrator	Yönetici kullanıcısı için bir müşteri sertifikası	Certifikat klienta dla użytkownika administracyjnego		Un certificato del Client per l\'utente admin	एक client certificate computer व्यवस्थापक के लिए		Một giấy chứng nhận của máy khách cho người quản trị		Nje certifikate klienti per perdoruesin me te drejta administrimi		Сертифікат клієнта для користувача admin		Admin kasutaja kliendisertifikaat			dummy
4	A clinical document is attached.																																					dummy
5	A distributor is required		Se requiere un distribuidor	Se requiere un distribuidor	Einen Verteiler ist notwendig	Hiervoor is een distributeur nodig		Un distributeur est requis	Un distributeur est requis		需要一个分销商	需要一個經銷商	Специалист является обязательным			Penyalur dibutuhkan	Απαιτείται ένας αντιπρόσωπος			Um distribuidor é necessário	مطلوب موزع		Bir bayi gerekiyor	Wymagany jest dystybutor		E\' richiesto un distributore	एक वितरक की आवश्यकता है		Phải có nhà phân phối	van szukseg egy eloszto	Nevojitet nje distributor		Вимагається дистрибютор		Edasimüüja on vajalik	توزیع کننده ای مورد نیاز است		dummy
6	A GCAC visit form should be added to this visit.		Formulario de visita GCAC debe ser agregado a esta visita	Formulario de visita GCAC debe ser agregado a esta visita	Ein GCAC Konsultationsformular sollte angefügt werden	Een CGAC visite formulier hoort bij dit bezoek.		Un formulaire de visite GCAC doit être ajouté à cette visite	Un formulaire de visite GCAC doit être ajouté à cette visite		本次门诊应添加一个GCAC门诊表格	一個GCAC參訪表格應該增加到這次的參訪	Для этого посещения необходимо добавить форму GCAC.			Formulir kunjungan CGAC harus ditambahkan pada kunjungan ini	Μια επίσκεψη GCAC πρέπει να προστεθεί σε αυτήν την επίσκεψη.		Um formulário GCAC deve ser acrescentado a esta visita	Um formulário GCAC deve ser acrescentado a esta visita	ينبغي اضافة استمارة الزيارة لهذه الزيارة		Bu kayda GCAC vizit formunun eklenmesi gerekiyor.	Formularz GCAC powinien być dodany do tej wizyty		Si dovrebbe aggiungere un modulo GCAC a questa visita.	एक GCAC visit फार्म इस visit के लिए जोड़ा जाना चाहिए.		Phải thêm vào lần đến khám này một biểu mẫu đến khám GCAC.		Nje formular konsulte tek GCAC duhet shtuar tek kjo vizite		GCAC форма повина бути додана до цього відвідування.		Selle visiidi jaoks peaks lisama GCAC vormi	یک فرم ملاقات GCAC باید به این ملاقات اضافه شده است.		dummy
